id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
3140677,BIG 1 BEDROOM + Office - QUIET,8659457,Kay,,Central & Western,22.28421,114.1497,Entire home/apt,1200,100,74,2020-11-01,0.74,3,0,0,
3152441,AMAZING Top Floor Seaview STAR Ensuite,15586744,Sven,,Sai Kung,22.29396,114.27094,Private room,600,28,8,2019-06-20,0.08,15,0,0,
3170735,278 sq ft Studio Kowloon CBd (not for quarantine),3687211,Edna,,Yau Tsim Mong,22.306402188898396,114.16828821826785,Entire home/apt,514,3,5,2022-07-26,0.05,1,330,1,
3177173,Hennessy Cozy washer Wifi MTR #SA,16111024,Celine,,Wan Chai,22.27788,114.1763,Entire home/apt,404,18,32,2022-04-19,0.33,2,319,1,
3177295,CityView MTR Wifi Washer #SC,16111024,Celine,,Wan Chai,22.27803,114.17808,Entire home/apt,500,21,40,2022-08-16,0.40,2,337,1,
3315931,SPECTACULAR Seaview COOL Room,15586744,Sven,,Sai Kung,22.29311,114.27338,Private room,500,28,37,2020-01-04,0.40,15,263,0,
3346038,AMAZING Top Floor Seaview SKY Room,15586744,Sven,,Sai Kung,22.29436,114.27223,Private room,550,28,24,2018-10-13,0.24,15,0,0,
3351296,AMAZING Top Floor Seaview CLOUD Room,15586744,Sven,,Sai Kung,22.29595,114.27076,Private room,450,28,2,2016-11-01,0.02,15,0,0,
3351826,AMAZING Top Floor 3 BEDROOM 2 BATH Unit,15586744,Sven,,Sai Kung,22.29449,114.27091,Entire home/apt,1550,14,34,2022-08-23,0.47,15,263,2,
3384871,Nice decorate 1 BR apt near Kennedy Town MTR,1443229,Alice,,Central & Western,22.28311,114.13086,Entire home/apt,796,28,26,2020-01-01,0.27,2,365,0,
3443586,Nice Studio available in Wan Chai,4584648,Ivy,,Wan Chai,22.2774,114.16943,Private room,217,60,0,,,384,364,0,
